Notes,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Race,Race Code,Year,Year Code,Sex,Sex Code,Count,Population,Crude Rate
,Brain and Other Nervous System,31010-31040,Louisiana,22,White,2106-3,2014,2014,Male,M,136,1478176,9.2
,Brain and Other Nervous System,31010-31040,Louisiana,22,White,2106-3,2015,2015,Female,F,102,1506945,6.77
,Brain and Other Nervous System,31010-31040,Louisiana,22,White,2106-3,2015,2015,Male,M,146,1483029,9.84
,Brain and Other Nervous System,31010-31040,Maine,23,White,2106-3,2011,2011,Female,F,39,654269,5.96
,Brain and Other Nervous System,31010-31040,Maine,23,White,2106-3,2011,2011,Male,M,67,626717,10.69
,Brain and Other Nervous System,31010-31040,Maine,23,White,2106-3,2012,2012,Female,F,55,653930,8.41
,Brain and Other Nervous System,31010-31040,Maine,23,White,2106-3,2012,2012,Male,M,65,626306,10.38
,Brain and Other Nervous System,31010-31040,Maine,23,White,2106-3,2013,2013,Female,F,43,653045,6.58
,Brain and Other Nervous System,31010-31040,Maine,23,White,2106-3,2013,2013,Male,M,70,626171,11.18
,Brain and Other Nervous System,31010-31040,Maine,23,White,2106-3,2014,2014,Female,F,52,653179,7.96
,Brain and Other Nervous System,31010-31040,Maine,23,White,2106-3,2014,2014,Male,M,59,626285,9.42
,Brain and Other Nervous System,31010-31040,Maine,23,White,2106-3,2015,2015,Female,F,55,652063,8.43
,Brain and Other Nervous System,31010-31040,Maine,23,White,2106-3,2015,2015,Male,M,70,624876,11.2
,Brain and Other Nervous System,31010-31040,Maryland,24,Black or African American,2054-5,2011,2011,Female,F,48,966379,4.97
,Brain and Other Nervous System,31010-31040,Maryland,24,Black or African American,2054-5,2011,2011,Male,M,34,845390,4.02
,Brain and Other Nervous System,31010-31040,Maryland,24,Black or African American,2054-5,2012,2012,Female,F,36,975786,3.69
,Brain and Other Nervous System,31010-31040,Maryland,24,Black or African American,2054-5,2012,2012,Male,M,50,855191,5.85
,Brain and Other Nervous System,31010-31040,Maryland,24,Black or African American,2054-5,2013,2013,Female,F,23,986576,2.33
,Brain and Other Nervous System,31010-31040,Maryland,24,Black or African American,2054-5,2013,2013,Male,M,41,864827,4.74
,Brain and Other Nervous System,31010-31040,Maryland,24,Black or African American,2054-5,2014,2014,Female,F,31,997688,3.11
,Brain and Other Nervous System,31010-31040,Maryland,24,Black or African American,2054-5,2014,2014,Male,M,42,874907,4.8
,Brain and Other Nervous System,31010-31040,Maryland,24,Black or African American,2054-5,2015,2015,Female,F,36,1007712,3.57
,Brain and Other Nervous System,31010-31040,Maryland,24,Black or African American,2054-5,2015,2015,Male,M,34,884425,3.84
,Brain and Other Nervous System,31010-31040,Maryland,24,White,2106-3,2011,2011,Female,F,128,1837204,6.97
,Brain and Other Nervous System,31010-31040,Maryland,24,White,2106-3,2011,2011,Male,M,157,1787929,8.78
,Brain and Other Nervous System,31010-31040,Maryland,24,White,2106-3,2012,2012,Female,F,124,1842697,6.73
,Brain and Other Nervous System,31010-31040,Maryland,24,White,2106-3,2012,2012,Male,M,177,1796490,9.85
,Brain and Other Nervous System,31010-31040,Maryland,24,White,2106-3,2013,2013,Female,F,157,1846658,8.5
,Brain and Other Nervous System,31010-31040,Maryland,24,White,2106-3,2013,2013,Male,M,163,1801181,9.05
,Brain and Other Nervous System,31010-31040,Maryland,24,White,2106-3,2014,2014,Female,F,128,1847953,6.93
,Brain and Other Nervous System,31010-31040,Maryland,24,White,2106-3,2014,2014,Male,M,155,1802366,8.6
,Brain and Other Nervous System,31010-31040,Maryland,24,White,2106-3,2015,2015,Female,F,113,1845825,6.12
,Brain and Other Nervous System,31010-31040,Maryland,24,White,2106-3,2015,2015,Male,M,156,1799656,8.67
,Brain and Other Nervous System,31010-31040,Massachusetts,25,White,2106-3,2011,2011,Female,F,215,2895427,7.43
,Brain and Other Nervous System,31010-31040,Massachusetts,25,White,2106-3,2011,2011,Male,M,245,2721692,9
,Brain and Other Nervous System,31010-31040,Massachusetts,25,White,2106-3,2012,2012,Female,F,199,2900048,6.86
,Brain and Other Nervous System,31010-31040,Massachusetts,25,White,2106-3,2012,2012,Male,M,231,2730166,8.46
,Brain and Other Nervous System,31010-31040,Massachusetts,25,White,2106-3,2013,2013,Female,F,213,2907417,7.33
,Brain and Other Nervous System,31010-31040,Massachusetts,25,White,2106-3,2013,2013,Male,M,289,2738121,10.55
,Brain and Other Nervous System,31010-31040,Massachusetts,25,White,2106-3,2014,2014,Female,F,193,2911736,6.63
,Brain and Other Nervous System,31010-31040,Massachusetts,25,White,2106-3,2014,2014,Male,M,245,2744326,8.93
,Brain and Other Nervous System,31010-31040,Massachusetts,25,White,2106-3,2015,2015,Female,F,240,2912695,8.24
,Brain and Other Nervous System,31010-31040,Massachusetts,25,White,2106-3,2015,2015,Male,M,240,2746378,8.74
,Brain and Other Nervous System,31010-31040,Michigan,26,Black or African American,2054-5,2011,2011,Female,F,31,778779,3.98
,Brain and Other Nervous System,31010-31040,Michigan,26,Black or African American,2054-5,2011,2011,Male,M,30,705951,4.25
,Brain and Other Nervous System,31010-31040,Michigan,26,Black or African American,2054-5,2012,2012,Female,F,33,779558,4.23
,Brain and Other Nervous System,31010-31040,Michigan,26,Black or African American,2054-5,2012,2012,Male,M,33,707219,4.67
,Brain and Other Nervous System,31010-31040,Michigan,26,Black or African American,2054-5,2013,2013,Female,F,28,778877,3.59
,Brain and Other Nervous System,31010-31040,Michigan,26,Black or African American,2054-5,2013,2013,Male,M,25,706966,3.54
,Brain and Other Nervous System,31010-31040,Michigan,26,Black or African American,2054-5,2014,2014,Female,F,33,779246,4.23
,Brain and Other Nervous System,31010-31040,Michigan,26,Black or African American,2054-5,2014,2014,Male,M,24,708133,3.39
,Brain and Other Nervous System,31010-31040,Michigan,26,Black or African American,2054-5,2015,2015,Female,F,23,778758,2.95
,Brain and Other Nervous System,31010-31040,Michigan,26,Black or African American,2054-5,2015,2015,Male,M,27,708630,3.81
,Brain and Other Nervous System,31010-31040,Michigan,26,White,2106-3,2011,2011,Female,F,277,4066179,6.81
,Brain and Other Nervous System,31010-31040,Michigan,26,White,2106-3,2011,2011,Male,M,380,3962975,9.59
,Brain and Other Nervous System,31010-31040,Michigan,26,White,2106-3,2012,2012,Female,F,281,4062221,6.92
,Brain and Other Nervous System,31010-31040,Michigan,26,White,2106-3,2012,2012,Male,M,367,3964663,9.26
,Brain and Other Nervous System,31010-31040,Michigan,26,White,2106-3,2013,2013,Female,F,285,4060474,7.02
,Brain and Other Nervous System,31010-31040,Michigan,26,White,2106-3,2013,2013,Male,M,338,3967017,8.52
,Brain and Other Nervous System,31010-31040,Michigan,26,White,2106-3,2014,2014,Female,F,270,4059637,6.65
,Brain and Other Nervous System,31010-31040,Michigan,26,White,2106-3,2014,2014,Male,M,394,3969993,9.92
,Brain and Other Nervous System,31010-31040,Michigan,26,White,2106-3,2015,2015,Female,F,278,4052150,6.86
,Brain and Other Nervous System,31010-31040,Michigan,26,White,2106-3,2015,2015,Male,M,357,3967133,9
,Brain and Other Nervous System,31010-31040,Minnesota,27,White,2106-3,2011,2011,Female,F,164,2368388,6.92
,Brain and Other Nervous System,31010-31040,Minnesota,27,White,2106-3,2011,2011,Male,M,201,2331754,8.62
,Brain and Other Nervous System,31010-31040,Minnesota,27,White,2106-3,2012,2012,Female,F,167,2373091,7.04
,Brain and Other Nervous System,31010-31040,Minnesota,27,White,2106-3,2012,2012,Male,M,234,2338319,10.01
,Brain and Other Nervous System,31010-31040,Minnesota,27,White,2106-3,2013,2013,Female,F,168,2380267,7.06
,Brain and Other Nervous System,31010-31040,Minnesota,27,White,2106-3,2013,2013,Male,M,196,2346588,8.35
,Brain and Other Nervous System,31010-31040,Minnesota,27,White,2106-3,2014,2014,Female,F,176,2385249,7.38
,Brain and Other Nervous System,31010-31040,Minnesota,27,White,2106-3,2014,2014,Male,M,225,2353405,9.56
,Brain and Other Nervous System,31010-31040,Minnesota,27,White,2106-3,2015,2015,Female,F,189,2388010,7.91
,Brain and Other Nervous System,31010-31040,Minnesota,27,White,2106-3,2015,2015,Male,M,234,2358237,9.92
,Brain and Other Nervous System,31010-31040,Mississippi,28,Black or African American,2054-5,2011,2011,Male,M,19,529761,3.59
,Brain and Other Nervous System,31010-31040,Mississippi,28,Black or African American,2054-5,2012,2012,Male,M,26,532120,4.89
,Brain and Other Nervous System,31010-31040,Mississippi,28,Black or African American,2054-5,2013,2013,Female,F,26,598988,4.34
,Brain and Other Nervous System,31010-31040,Mississippi,28,Black or African American,2054-5,2013,2013,Male,M,18,534845,3.37
,Brain and Other Nervous System,31010-31040,Mississippi,28,Black or African American,2054-5,2014,2014,Female,F,20,601629,3.32
,Brain and Other Nervous System,31010-31040,Mississippi,28,Black or African American,2054-5,2014,2014,Male,M,23,536498,4.29
,Brain and Other Nervous System,31010-31040,Mississippi,28,Black or African American,2054-5,2015,2015,Female,F,19,603804,3.15
,Brain and Other Nervous System,31010-31040,Mississippi,28,White,2106-3,2011,2011,Female,F,74,911933,8.11
,Brain and Other Nervous System,31010-31040,Mississippi,28,White,2106-3,2011,2011,Male,M,89,893664,9.96
,Brain and Other Nervous System,31010-31040,Mississippi,28,White,2106-3,2012,2012,Female,F,84,912670,9.2
,Brain and Other Nervous System,31010-31040,Mississippi,28,White,2106-3,2012,2012,Male,M,83,894079,9.28
,Brain and Other Nervous System,31010-31040,Mississippi,28,White,2106-3,2013,2013,Female,F,52,911308,5.71
,Brain and Other Nervous System,31010-31040,Mississippi,28,White,2106-3,2013,2013,Male,M,87,893623,9.74
,Brain and Other Nervous System,31010-31040,Mississippi,28,White,2106-3,2014,2014,Female,F,78,910109,8.57
,Brain and Other Nervous System,31010-31040,Mississippi,28,White,2106-3,2014,2014,Male,M,92,891204,10.32
,Brain and Other Nervous System,31010-31040,Mississippi,28,White,2106-3,2015,2015,Female,F,60,907581,6.61
,Brain and Other Nervous System,31010-31040,Mississippi,28,White,2106-3,2015,2015,Male,M,69,887579,7.77
,Brain and Other Nervous System,31010-31040,Missouri,29,Black or African American,2054-5,2012,2012,Female,F,16,390070,4.1
,Brain and Other Nervous System,31010-31040,Missouri,29,Black or African American,2054-5,2012,2012,Male,M,17,354987,4.79
,Brain and Other Nervous System,31010-31040,Missouri,29,Black or African American,2054-5,2013,2013,Male,M,20,358081,5.59
,Brain and Other Nervous System,31010-31040,Missouri,29,Black or African American,2054-5,2014,2014,Female,F,16,395095,4.05
,Brain and Other Nervous System,31010-31040,Missouri,29,White,2106-3,2011,2011,Female,F,192,2593488,7.4
,Brain and Other Nervous System,31010-31040,Missouri,29,White,2106-3,2011,2011,Male,M,200,2515108,7.95
,Brain and Other Nervous System,31010-31040,Missouri,29,White,2106-3,2012,2012,Female,F,187,2595527,7.2
,Brain and Other Nervous System,31010-31040,Missouri,29,White,2106-3,2012,2012,Male,M,236,2518395,9.37
,Brain and Other Nervous System,31010-31040,Missouri,29,White,2106-3,2013,2013,Female,F,179,2597739,6.89
,Brain and Other Nervous System,31010-31040,Missouri,29,White,2106-3,2013,2013,Male,M,206,2523155,8.16
,Brain and Other Nervous System,31010-31040,Missouri,29,White,2106-3,2014,2014,Female,F,180,2600842,6.92
,Brain and Other Nervous System,31010-31040,Missouri,29,White,2106-3,2014,2014,Male,M,253,2527614,10.01
,Brain and Other Nervous System,31010-31040,Missouri,29,White,2106-3,2015,2015,Female,F,185,2602871,7.11
,Brain and Other Nervous System,31010-31040,Missouri,29,White,2106-3,2015,2015,Male,M,227,2531335,8.97
,Brain and Other Nervous System,31010-31040,Montana,30,White,2106-3,2011,2011,Female,F,31,453230,6.84
,Brain and Other Nervous System,31010-31040,Montana,30,White,2106-3,2011,2011,Male,M,51,457421,11.15
,Brain and Other Nervous System,31010-31040,Montana,30,White,2106-3,2012,2012,Female,F,34,455462,7.46
,Brain and Other Nervous System,31010-31040,Montana,30,White,2106-3,2012,2012,Male,M,45,460269,9.78
,Brain and Other Nervous System,31010-31040,Montana,30,White,2106-3,2013,2013,Female,F,36,458909,7.84
,Brain and Other Nervous System,31010-31040,Montana,30,White,2106-3,2013,2013,Male,M,47,464257,10.12
,Brain and Other Nervous System,31010-31040,Montana,30,White,2106-3,2014,2014,Female,F,33,462088,7.14
,Brain and Other Nervous System,31010-31040,Montana,30,White,2106-3,2014,2014,Male,M,48,467831,10.26
,Brain and Other Nervous System,31010-31040,Montana,30,White,2106-3,2015,2015,Female,F,35,465462,7.52
,Brain and Other Nervous System,31010-31040,Montana,30,White,2106-3,2015,2015,Male,M,51,472078,10.8
,Brain and Other Nervous System,31010-31040,Nebraska,31,White,2106-3,2011,2011,Female,F,65,844692,7.7
,Brain and Other Nervous System,31010-31040,Nebraska,31,White,2106-3,2011,2011,Male,M,86,831760,10.34
,Brain and Other Nervous System,31010-31040,Nebraska,31,White,2106-3,2012,2012,Female,F,54,848494,6.36
,Brain and Other Nervous System,31010-31040,Nebraska,31,White,2106-3,2012,2012,Male,M,73,836667,8.73
,Brain and Other Nervous System,31010-31040,Nebraska,31,White,2106-3,2013,2013,Female,F,58,851697,6.81
,Brain and Other Nervous System,31010-31040,Nebraska,31,White,2106-3,2013,2013,Male,M,72,841504,8.56
,Brain and Other Nervous System,31010-31040,Nebraska,31,White,2106-3,2014,2014,Female,F,57,854740,6.67
,Brain and Other Nervous System,31010-31040,Nebraska,31,White,2106-3,2014,2014,Male,M,77,845344,9.11
,Brain and Other Nervous System,31010-31040,Nebraska,31,White,2106-3,2015,2015,Female,F,61,857956,7.11
,Brain and Other Nervous System,31010-31040,Nebraska,31,White,2106-3,2015,2015,Male,M,68,849640,8
,Brain and Other Nervous System,31010-31040,Nevada,32,White,2106-3,2011,2011,Female,F,59,1057440,5.58
,Brain and Other Nervous System,31010-31040,Nevada,32,White,2106-3,2011,2011,Male,M,92,1098829,8.37
,Brain and Other Nervous System,31010-31040,Nevada,32,White,2106-3,2012,2012,Female,F,66,1065704,6.19
,Brain and Other Nervous System,31010-31040,Nevada,32,White,2106-3,2012,2012,Male,M,79,1105923,7.14
,Brain and Other Nervous System,31010-31040,Nevada,32,White,2106-3,2013,2013,Female,F,73,1074613,6.79
,Brain and Other Nervous System,31010-31040,Nevada,32,White,2106-3,2013,2013,Male,M,83,1113354,7.45
,Brain and Other Nervous System,31010-31040,Nevada,32,White,2106-3,2014,2014,Female,F,58,1087751,5.33
,Brain and Other Nervous System,31010-31040,Nevada,32,White,2106-3,2014,2014,Male,M,92,1125552,8.17
,Brain and Other Nervous System,31010-31040,Nevada,32,White,2106-3,2015,2015,Female,F,81,1101429,7.35
,Brain and Other Nervous System,31010-31040,Nevada,32,White,2106-3,2015,2015,Male,M,93,1137786,8.17
,Brain and Other Nervous System,31010-31040,New Hampshire,33,White,2106-3,2011,2011,Female,F,54,638883,8.45
,Brain and Other Nervous System,31010-31040,New Hampshire,33,White,2106-3,2011,2011,Male,M,63,621225,10.14
,Brain and Other Nervous System,31010-31040,New Hampshire,33,White,2106-3,2012,2012,Female,F,49,639033,7.67
,Brain and Other Nervous System,31010-31040,New Hampshire,33,White,2106-3,2012,2012,Male,M,51,621667,8.2
,Brain and Other Nervous System,31010-31040,New Hampshire,33,White,2106-3,2013,2013,Female,F,47,638368,7.36
,Brain and Other Nervous System,31010-31040,New Hampshire,33,White,2106-3,2013,2013,Male,M,59,621679,9.49
,Brain and Other Nervous System,31010-31040,New Hampshire,33,White,2106-3,2014,2014,Female,F,41,639742,6.41
,Brain and Other Nervous System,31010-31040,New Hampshire,33,White,2106-3,2014,2014,Male,M,68,624435,10.89
,Brain and Other Nervous System,31010-31040,New Hampshire,33,White,2106-3,2015,2015,Female,F,47,639006,7.36
,Brain and Other Nervous System,31010-31040,New Hampshire,33,White,2106-3,2015,2015,Male,M,55,624642,8.81
,Brain and Other Nervous System,31010-31040,New Jersey,34,Asian or Pacific Islander,A-PI,2011,2011,Male,M,21,393893,5.33
,Brain and Other Nervous System,31010-31040,New Jersey,34,Asian or Pacific Islander,A-PI,2012,2012,Male,M,20,405499,4.93
,Brain and Other Nervous System,31010-31040,New Jersey,34,Asian or Pacific Islander,A-PI,2013,2013,Female,F,20,437252,4.57
,Brain and Other Nervous System,31010-31040,New Jersey,34,Asian or Pacific Islander,A-PI,2013,2013,Male,M,23,416152,5.53
,Brain and Other Nervous System,31010-31040,New Jersey,34,Asian or Pacific Islander,A-PI,2014,2014,Female,F,17,448769,3.79
,Brain and Other Nervous System,31010-31040,New Jersey,34,Asian or Pacific Islander,A-PI,2014,2014,Male,M,16,426137,3.75
,Brain and Other Nervous System,31010-31040,New Jersey,34,Asian or Pacific Islander,A-PI,2015,2015,Female,F,17,459759,3.7
,Brain and Other Nervous System,31010-31040,New Jersey,34,Asian or Pacific Islander,A-PI,2015,2015,Male,M,23,435185,5.29
,Brain and Other Nervous System,31010-31040,New Jersey,34,Black or African American,2054-5,2011,2011,Female,F,21,711313,2.95
,Brain and Other Nervous System,31010-31040,New Jersey,34,Black or African American,2054-5,2011,2011,Male,M,27,635689,4.25
,Brain and Other Nervous System,31010-31040,New Jersey,34,Black or African American,2054-5,2012,2012,Female,F,19,716552,2.65
,Brain and Other Nervous System,31010-31040,New Jersey,34,Black or African American,2054-5,2012,2012,Male,M,26,641840,4.05
,Brain and Other Nervous System,31010-31040,New Jersey,34,Black or African American,2054-5,2013,2013,Female,F,26,721692,3.6
,Brain and Other Nervous System,31010-31040,New Jersey,34,Black or African American,2054-5,2013,2013,Male,M,29,648255,4.47
,Brain and Other Nervous System,31010-31040,New Jersey,34,Black or African American,2054-5,2014,2014,Female,F,27,727326,3.71
,Brain and Other Nervous System,31010-31040,New Jersey,34,Black or African American,2054-5,2014,2014,Male,M,30,655651,4.58
,Brain and Other Nervous System,31010-31040,New Jersey,34,Black or African American,2054-5,2015,2015,Female,F,31,731428,4.24
,Brain and Other Nervous System,31010-31040,New Jersey,34,Black or African American,2054-5,2015,2015,Male,M,30,660972,4.54
,Brain and Other Nervous System,31010-31040,New Jersey,34,White,2106-3,2011,2011,Female,F,239,3379019,7.07
,Brain and Other Nervous System,31010-31040,New Jersey,34,White,2106-3,2011,2011,Male,M,300,3247777,9.24
,Brain and Other Nervous System,31010-31040,New Jersey,34,White,2106-3,2012,2012,Female,F,258,3375357,7.64
,Brain and Other Nervous System,31010-31040,New Jersey,34,White,2106-3,2012,2012,Male,M,351,3247522,10.81
,Brain and Other Nervous System,31010-31040,New Jersey,34,White,2106-3,2013,2013,Female,F,265,3369571,7.86
,Brain and Other Nervous System,31010-31040,New Jersey,34,White,2106-3,2013,2013,Male,M,324,3245359,9.98
,Brain and Other Nervous System,31010-31040,New Jersey,34,White,2106-3,2014,2014,Female,F,245,3363298,7.28
,Brain and Other Nervous System,31010-31040,New Jersey,34,White,2106-3,2014,2014,Male,M,333,3242246,10.27
,Brain and Other Nervous System,31010-31040,New Jersey,34,White,2106-3,2015,2015,Female,F,242,3352504,7.22
,Brain and Other Nervous System,31010-31040,New Jersey,34,White,2106-3,2015,2015,Male,M,286,3233012,8.85
,Brain and Other Nervous System,31010-31040,New Mexico,35,White,2106-3,2011,2011,Female,F,47,886896,5.3
,Brain and Other Nervous System,31010-31040,New Mexico,35,White,2106-3,2011,2011,Male,M,58,867646,6.68
,Brain and Other Nervous System,31010-31040,New Mexico,35,White,2106-3,2012,2012,Female,F,51,886795,5.75
,Brain and Other Nervous System,31010-31040,New Mexico,35,White,2106-3,2012,2012,Male,M,75,869586,8.62
,Brain and Other Nervous System,31010-31040,New Mexico,35,White,2106-3,2013,2013,Female,F,45,884946,5.09
,Brain and Other Nervous System,31010-31040,New Mexico,35,White,2106-3,2013,2013,Male,M,54,868145,6.22
,Brain and Other Nervous System,31010-31040,New Mexico,35,White,2106-3,2014,2014,Female,F,42,881751,4.76
,Brain and Other Nervous System,31010-31040,New Mexico,35,White,2106-3,2014,2014,Male,M,72,865615,8.32
,Brain and Other Nervous System,31010-31040,New Mexico,35,White,2106-3,2015,2015,Female,F,54,879323,6.14
,Brain and Other Nervous System,31010-31040,New Mexico,35,White,2106-3,2015,2015,Male,M,68,862741,7.88
,Brain and Other Nervous System,31010-31040,New York,36,Asian or Pacific Islander,A-PI,2011,2011,Female,F,34,839631,4.05
,Brain and Other Nervous System,31010-31040,New York,36,Asian or Pacific Islander,A-PI,2011,2011,Male,M,41,778179,5.27
,Brain and Other Nervous System,31010-31040,New York,36,Asian or Pacific Islander,A-PI,2012,2012,Female,F,28,864022,3.24
,Brain and Other Nervous System,31010-31040,New York,36,Asian or Pacific Islander,A-PI,2012,2012,Male,M,43,798864,5.38
,Brain and Other Nervous System,31010-31040,New York,36,Asian or Pacific Islander,A-PI,2013,2013,Female,F,37,888462,4.16
,Brain and Other Nervous System,31010-31040,New York,36,Asian or Pacific Islander,A-PI,2013,2013,Male,M,37,818690,4.52
,Brain and Other Nervous System,31010-31040,New York,36,Asian or Pacific Islander,A-PI,2014,2014,Female,F,37,914906,4.04
,Brain and Other Nervous System,31010-31040,New York,36,Asian or Pacific Islander,A-PI,2014,2014,Male,M,32,840779,3.81
,Brain and Other Nervous System,31010-31040,New York,36,Asian or Pacific Islander,A-PI,2015,2015,Female,F,34,940667,3.61
,Brain and Other Nervous System,31010-31040,New York,36,Asian or Pacific Islander,A-PI,2015,2015,Male,M,40,862373,4.64
,Brain and Other Nervous System,31010-31040,New York,36,Black or African American,2054-5,2011,2011,Female,F,73,1910292,3.82
,Brain and Other Nervous System,31010-31040,New York,36,Black or African American,2054-5,2011,2011,Male,M,74,1655217,4.47
,Brain and Other Nervous System,31010-31040,New York,36,Black or African American,2054-5,2012,2012,Female,F,57,1920951,2.97
,Brain and Other Nervous System,31010-31040,New York,36,Black or African American,2054-5,2012,2012,Male,M,81,1670047,4.85
,Brain and Other Nervous System,31010-31040,New York,36,Black or African American,2054-5,2013,2013,Female,F,84,1932425,4.35
,Brain and Other Nervous System,31010-31040,New York,36,Black or African American,2054-5,2013,2013,Male,M,76,1685178,4.51
,Brain and Other Nervous System,31010-31040,New York,36,Black or African American,2054-5,2014,2014,Female,F,46,1940437,2.37
,Brain and Other Nervous System,31010-31040,New York,36,Black or African American,2054-5,2014,2014,Male,M,72,1695636,4.25
,Brain and Other Nervous System,31010-31040,New York,36,Black or African American,2054-5,2015,2015,Female,F,58,1947355,2.98
,Brain and Other Nervous System,31010-31040,New York,36,Black or African American,2054-5,2015,2015,Male,M,73,1706255,4.28
,Brain and Other Nervous System,31010-31040,New York,36,White,2106-3,2011,2011,Female,F,495,7206439,6.87
,Brain and Other Nervous System,31010-31040,New York,36,White,2106-3,2011,2011,Male,M,615,6912651,8.9
,Brain and Other Nervous System,31010-31040,New York,36,White,2106-3,2012,2012,Female,F,538,7205461,7.47
,Brain and Other Nervous System,31010-31040,New York,36,White,2106-3,2012,2012,Male,M,631,6923622,9.11
,Brain and Other Nervous System,31010-31040,New York,36,White,2106-3,2013,2013,Female,F,486,7200357,6.75
,Brain and Other Nervous System,31010-31040,New York,36,White,2106-3,2013,2013,Male,M,653,6926846,9.43
,Brain and Other Nervous System,31010-31040,New York,36,White,2106-3,2014,2014,Female,F,565,7185397,7.86
,Brain and Other Nervous System,31010-31040,New York,36,White,2106-3,2014,2014,Male,M,695,6918664,10.05
,Brain and Other Nervous System,31010-31040,New York,36,White,2106-3,2015,2015,Female,F,565,7163200,7.89
,Brain and Other Nervous System,31010-31040,New York,36,White,2106-3,2015,2015,Male,M,621,6903191,9
,Brain and Other Nervous System,31010-31040,North Carolina,37,Black or African American,2054-5,2011,2011,Female,F,34,1160660,2.93
,Brain and Other Nervous System,31010-31040,North Carolina,37,Black or African American,2054-5,2011,2011,Male,M,44,1026321,4.29
,Brain and Other Nervous System,31010-31040,North Carolina,37,Black or African American,2054-5,2012,2012,Female,F,44,1176839,3.74
,Brain and Other Nervous System,31010-31040,North Carolina,37,Black or African American,2054-5,2012,2012,Male,M,46,1040000,4.42
,Brain and Other Nervous System,31010-31040,North Carolina,37,Black or African American,2054-5,2013,2013,Female,F,54,1193289,4.53
,Brain and Other Nervous System,31010-31040,North Carolina,37,Black or African American,2054-5,2013,2013,Male,M,42,1054717,3.98
,Brain and Other Nervous System,31010-31040,North Carolina,37,Black or African American,2054-5,2014,2014,Female,F,45,1209213,3.72
,Brain and Other Nervous System,31010-31040,North Carolina,37,Black or African American,2054-5,2014,2014,Male,M,49,1067934,4.59
,Brain and Other Nervous System,31010-31040,North Carolina,37,Black or African American,2054-5,2015,2015,Female,F,41,1223841,3.35
,Brain and Other Nervous System,31010-31040,North Carolina,37,Black or African American,2054-5,2015,2015,Male,M,50,1081055,4.63
,Brain and Other Nervous System,31010-31040,North Carolina,37,White,2106-3,2011,2011,Female,F,260,3580002,7.26
,Brain and Other Nervous System,31010-31040,North Carolina,37,White,2106-3,2011,2011,Male,M,337,3468880,9.71
,Brain and Other Nervous System,31010-31040,North Carolina,37,White,2106-3,2012,2012,Female,F,252,3605933,6.99
,Brain and Other Nervous System,31010-31040,North Carolina,37,White,2106-3,2012,2012,Male,M,313,3492616,8.96
,Brain and Other Nervous System,31010-31040,North Carolina,37,White,2106-3,2013,2013,Female,F,273,3630880,7.52
,Brain and Other Nervous System,31010-31040,North Carolina,37,White,2106-3,2013,2013,Male,M,314,3515304,8.93
,Brain and Other Nervous System,31010-31040,North Carolina,37,White,2106-3,2014,2014,Female,F,246,3657014,6.73
,Brain and Other Nervous System,31010-31040,North Carolina,37,White,2106-3,2014,2014,Male,M,290,3536293,8.2
,Brain and Other Nervous System,31010-31040,North Carolina,37,White,2106-3,2015,2015,Female,F,266,3685763,7.22
,Brain and Other Nervous System,31010-31040,North Carolina,37,White,2106-3,2015,2015,Male,M,326,3564320,9.15
,Brain and Other Nervous System,31010-31040,North Dakota,38,White,2106-3,2011,2011,Male,M,24,316430,7.58
,Brain and Other Nervous System,31010-31040,North Dakota,38,White,2106-3,2012,2012,Female,F,21,313752,6.69
,Brain and Other Nervous System,31010-31040,North Dakota,38,White,2106-3,2012,2012,Male,M,31,324354,9.56
,Brain and Other Nervous System,31010-31040,North Dakota,38,White,2106-3,2013,2013,Female,F,16,320772,4.99
,Brain and Other Nervous System,31010-31040,North Dakota,38,White,2106-3,2013,2013,Male,M,36,334201,10.77
,Brain and Other Nervous System,31010-31040,North Dakota,38,White,2106-3,2014,2014,Female,F,23,325451,7.07
,Brain and Other Nervous System,31010-31040,North Dakota,38,White,2106-3,2014,2014,Male,M,28,340965,8.21
,Brain and Other Nervous System,31010-31040,North Dakota,38,White,2106-3,2015,2015,Female,F,22,330264,6.66
,Brain and Other Nervous System,31010-31040,North Dakota,38,White,2106-3,2015,2015,Male,M,24,347178,6.91
,Brain and Other Nervous System,31010-31040,Ohio,39,Black or African American,2054-5,2011,2011,Female,F,32,795624,4.02
,Brain and Other Nervous System,31010-31040,Ohio,39,Black or African American,2054-5,2011,2011,Male,M,23,728071,3.16
,Brain and Other Nervous System,31010-31040,Ohio,39,Black or African American,2054-5,2012,2012,Female,F,19,800251,2.37
,Brain and Other Nervous System,31010-31040,Ohio,39,Black or African American,2054-5,2012,2012,Male,M,27,734228,3.68
,Brain and Other Nervous System,31010-31040,Ohio,39,Black or African American,2054-5,2013,2013,Female,F,27,807443,3.34
,Brain and Other Nervous System,31010-31040,Ohio,39,Black or African American,2054-5,2013,2013,Male,M,46,741977,6.2
,Brain and Other Nervous System,31010-31040,Ohio,39,Black or African American,2054-5,2014,2014,Female,F,32,814868,3.93
,Brain and Other Nervous System,31010-31040,Ohio,39,Black or African American,2054-5,2014,2014,Male,M,35,750275,4.66
,Brain and Other Nervous System,31010-31040,Ohio,39,Black or African American,2054-5,2015,2015,Female,F,30,821671,3.65
